insight_id,question,metric/evidence,observed result,stance,relevant artifact,robust_enough_for_report,limitation
SENT-001,Are headline volume and active-ticker breadth empirically distinct?,candidate case counts for high-volume/low-breadth and low-volume/broad evidence,18 high-volume/low-breadth and 20 low-volume/broad cases,SUPPORTS,results/tables/sentiment_candidate_cases.csv,True,"Thresholds are descriptive quantiles, not tuned return predictors."
SENT-002,Does headline weighting materially disagree with equal-ticker weighting?,absolute differences and sign reversals,max absolute difference 0.4079; sign reversals 561,SUPPORTS,results/tables/sentiment_weighting_comparison.csv,True,Naive headline weighting is diagnostic only and not the approved production index.
SENT-003,Can one constituent materially change a sector signal?,leave-one-ticker-out maximum absolute influence,maximum absolute influence 0.5800,SUPPORTS,results/tables/sentiment_constituent_influence.csv,True,"High influence is sensitivity, not evidence of manipulation or bias."
SENT-004,Does near-zero sentiment mean neutrality or cancellation?,near-zero sector-days ranked by cross-ticker dispersion,15 high-dispersion near-zero examples retained,SUPPORTS,results/tables/sentiment_disagreement_examples.csv,True,Examples diagnose structure but do not establish a trading signal.
SENT-005,Do carried-over headlines differ from same-day headlines?,timing-bucket average compound and absolute compound,same-day and carried-over timing buckets are reported separately,QUALIFIES,results/tables/sentiment_carryover_diagnostic.csv,True,Calendar timing is descriptive; no causal interpretation is claimed.
SENT-006,Is there a pre-declared lagged sentiment-return relationship?,sector-level Pearson/Spearman correlations for t sentiment to t+1 returns,largest absolute lagged correlation 0.1007,QUALIFIES,results/tables/sentiment_return_validation.csv,True,No arbitrary lag search; correlations are descriptive and not proof of predictability.
SENT-007,Does sentiment/evidence behaviour change across years?,year-sector sentiment and evidence summary,largest within-sector annual headline-volume range 8209,QUALIFIES,results/tables/sentiment_temporal_stability.csv,True,No external event narrative is introduced here.
SENT-008,Which VADER weaknesses are observed in this corpus?,deterministic category matches and example headlines,11 observed model-risk categories,SUPPORTS,results/tables/sentiment_vader_failure_taxonomy.csv,True,"Categories are plausible model-risk diagnostics, not manually corrected labels."
SENT-009,Which innovation concept is best supported by the data?,innovation reconnaissance supporting observation counts,Combined Evidence/Agreement/Concentration Layer has the largest support count,SUPPORTS,results/tables/sentiment_innovation_reconnaissance.csv,True,Phase 2A does not implement or validate any trading overlay.
SENT-010,Which promising concept is least supported at this stage?,innovation reconnaissance supporting observation counts,Timing-Aware Sentiment has the smallest support count,CHALLENGES,results/tables/sentiment_innovation_reconnaissance.csv,True,Weak Phase 2A support does not rule out later usefulness under a pre-declared design.
