failure_category,observed_match_count,example_date,ticker,sector,example_headline,vader_compound,intuitive_interpretation,why_lexical_model_may_struggle
comparative_language,9109,2020-01-06,NUE,Materials,NUE Crosses Below Key Moving Average Level,0.0,Comparative wording depends on the benchmark and direction.,General polarity can miss whether a comparison is economically favourable.
context_dependent_title,12823,2020-01-02,EA,Comm,"Nomura Internet Stock Preview For The Year: Buy Google, Activision Blizzard",0.0,Some titles signal that the economics are in missing article context.,Headline-only scoring cannot read the article body or event details.
earnings_beats_misses,3119,2020-01-14,USB,Financials,"First Republic (FRC) Q4 Earnings Beat Estimates, Costs Rise",0.0,"Earnings headlines often mix expectations, levels, and surprises.",A lexical model may not know whether the key news is the reported number or the expectation benchmark.
financial_words_domain_specific,5795,2020-01-02,GILD,Healthcare,Drugmakers Kick Off 2020 With Margin-Expanding Price Hikes,0.0,Financial wording can carry domain-specific tone that generic lexical scoring may miss.,The economic meaning depends on finance usage rather than general English tone.
litigation_regulatory,952,2020-02-20,MMM,Industrials,3M Reports Settlement Deal With Wolverine World Wide; 3M Will Make Fixed Financial Contribution Of $55M,0.0,Legal and regulatory headlines can be economically material even when written neutrally.,The wording may describe process rather than emotional tone.
ma_language,2945,2020-01-06,DIS,Consumer,Dow Jones Futures: Can Stock Market Rally Hold In Bullish Channel As Iran Exits Nuclear Deal? 7 Stocks Near Buy Points,0.0,"M&A words can be good or bad depending on acquirer, target, price, and financing.",The title alone may not identify who benefits economically.
mixed_information,2877,2020-01-03,INTC,Tech,"Nokia Has Momentum Early in 2020, but Is It a Buy? ",0.0,Mixed headlines can contain offsetting positive and negative information.,One compound score can hide multiple economic signals in the same title.
negation,2671,2020-01-06,MRK,Healthcare,Merck's Announces Phase 3 Of KEYNOTE-604 Study Did Not Meet Other Dual Primary Endpoint of Overall Survival; Results to be Presented at Upcoming Medical Meeting,0.0,Negation can reverse meaning or reduce confidence.,Lexical scoring is fragile when short headlines combine negation with sentiment words.
numerical_statements,21699,2020-01-02,GE,Industrials,3 Reasons Why GE Stock Could Rally Another 20% in 2020,0.0,Numbers often carry the economic signal.,VADER does not know whether a numeric surprise is large relative to expectations.
punctuation_intensity,146830,2020-01-02,ABBV,Healthcare,Is AbbVie's Stock a Buy?,0.0,Punctuation and uppercase can change VADER intensity.,Intensity markers may reflect headline style as much as economic content.
upgrades_downgrades,1167,2020-01-02,AMD,Tech,10 Biggest Price Target Changes For Thursday,0.0,Analyst-action language has finance-specific polarity.,Generic sentiment may underweight institutional phrases such as rating and target changes.
